ticket_id,created_at,customer_id,customer_city,channel,priority,issue_type,assigned_agent,status,first_response_mins,resolution_hours,csat_score,reopened_flag,resolved_at,sla_target_hours,sla_met_flag
71176,2024-11-15 17:43:00,2538,  Zagazig ,Email,High,Delivery,Farah,Resolved,565.0,146.0,5.0,1,2024-11-21 19:43:00,24.0,0.0
70542,2024-10-03 17:30:00,2060,Zagazig,CHAT,Low,Refund,Ali,Resolved,141.0,10.0,,0,2024-10-04 03:30:00,72.0,1.0
70673,2024-09-09 04:45:00,2233,Giza,Chat,High,delivery,mina,resolved,668.0,27.0,4.0,0,2024-09-10 07:45:00,24.0,0.0
71208,2025-01-05 14:29:00,2121,Suez,email,  Low ,Complaint,Nada,Resolved,478.0,107.0,3.0,0,2025-01-10 01:29:00,72.0,0.0
70282,2024-12-23 00:25:00,2261,Giza,Chat,medium,Billing,youssef,Resolved,183.0,46.0,4.0,0,2024-12-24 22:25:00,48.0,1.0
70136,2024-11-16 19:27:00,2537,Giza,EMAIL,Medium,Delivery,  Mina ,Resolved,376.0,48.0,,0,2024-11-18 19:27:00,48.0,1.0
71153,2025-02-13 15:26:00,2306,Cairo,Phone,  High ,  Billing ,Mina,  Open ,620.0,158.0,,0,,24.0,0.0
70229,2025-02-28 19:03:00,2529,Cairo,Phone,Medium,Technical,Sara,  Resolved ,571.0,84.0,4.0,0,2025-03-04 07:03:00,48.0,0.0
70645,2024-09-21 00:22:00,2531,  ismailia ,Portal,Medium,Refund,Youssef,RESOLVED,285.0,92.0,3.0,0,2024-09-24 20:22:00,48.0,0.0
70491,2024-10-06 10:37:00,2325,Tanta,Chat,Medium,technical,  Omar ,  CLOSED ,57.0,103.0,4.0,0,2024-10-10 17:37:00,48.0,0.0
70660,2024-09-15 14:53:00,2368,Mansoura,Phone,LOW,Technical,Heba,Open,488.0,106.0,4.0,0,,72.0,0.0
71516,2024-12-03 20:50:00,2576,Cairo,Portal,medium,Technical,Sara,Pending,595.0,76.0,,0,,48.0,0.0
70784,2024-09-15 00:52:00,2319,SUEZ,chat,  Medium ,Refund,Ali,Closed,627.0,94.0,4.0,1,2024-09-18 22:52:00,48.0,0.0
70324,2024-12-11 21:17:00,2459,Zagazig,Portal,MEDIUM,delivery,Farah,Resolved,7.0,7.0,,1,2024-12-12 04:17:00,48.0,1.0
70650,2024-11-28 03:06:00,2497,tanta,phone,Medium,Technical,Mina,Pending,159.0,,5.0,0,,48.0,
71178,2024-09-20 20:04:00,2270,Tanta,chat,  medium ,  Delivery ,Nada,Closed,317.0,143.0,4.0,0,2024-09-26 19:04:00,48.0,0.0
70928,2024-12-10 06:21:00,2131,Mansoura,Chat,Low,refund,  Nada ,Open,434.0,,4.0,0,,72.0,
70082,2024-12-08 12:40:00,2544,ALEXANDRIA,Phone,Medium,Refund,Sara,RESOLVED,49.0,8.0,5.0,0,2024-12-08 20:40:00,48.0,1.0
70332,2024-11-04 06:12:00,2546,Mansoura,Email,Medium,Complaint,  Nada ,Resolved,296.0,7.0,5.0,0,2024-11-04 13:12:00,48.0,1.0
70260,2025-02-14 07:47:00,2451,Mansoura,Phone,Low,Account,Sara,Open,394.0,127.0,4.0,1,,72.0,0.0
70799,2024-11-13 18:05:00,2297,Alexandria,CHAT,critical,  Refund ,SARA,Closed,131.0,129.0,4.0,0,2024-11-19 03:05:00,8.0,0.0
70830,2024-12-19 20:52:00,2031,Zagazig,Email,  Medium ,Billing,Nada,resolved,188.0,113.0,3.0,0,2024-12-24 13:52:00,48.0,0.0
70635,2025-01-23 07:08:00,2444,Cairo,Chat,Medium,complaint,Mina,  Open ,163.0,164.0,2.0,0,,48.0,0.0
70181,2024-11-19 22:52:00,2258,Zagazig,Email,Medium,Delivery,  Youssef ,Closed,150.0,157.0,3.0,0,2024-11-26 11:52:00,48.0,0.0
71437,2024-10-30 12:45:00,2238,Giza,Chat,Medium,  Technical ,MINA,Resolved,64.0,132.0,4.0,0,2024-11-05 00:45:00,48.0,0.0
70266,2025-01-20 16:52:00,2577,Giza,Chat,Low,Account,HEBA,Resolved,237.0,154.0,5.0,0,2025-01-27 02:52:00,72.0,0.0
70003,2024-10-17 04:20:00,2556,Ismailia,Chat,  Medium ,Technical,mina,Resolved,440.0,16.0,5.0,0,2024-10-17 20:20:00,48.0,1.0
70777,2024-12-08 09:11:00,2153,Tanta,  EMAIL ,  Critical ,  BILLING ,Mina,PENDING,239.0,,4.0,0,,8.0,
70852,2024-12-10 17:17:00,2139,ISMAILIA,portal,Medium,COMPLAINT,Sara,Resolved,495.0,147.0,,0,2024-12-16 20:17:00,48.0,0.0
70640,2024-09-10 04:31:00,2343,,Chat,Medium,Refund,  Ali ,RESOLVED,42.0,69.0,,0,2024-09-13 01:31:00,48.0,0.0
71125,2024-11-09 20:09:00,2464,Cairo,Chat,Medium,  Complaint ,Heba,Resolved,145.0,30.0,3.0,1,2024-11-11 02:09:00,48.0,1.0
71314,2025-02-25 09:33:00,2112,  Giza ,Portal,medium,Technical,  Omar ,Resolved,427.0,143.0,2.0,0,2025-03-03 08:33:00,48.0,0.0
70427,2024-10-30 22:43:00,2252,  Suez ,Chat,Medium,Technical,  Heba ,Closed,515.0,153.0,,1,2024-11-06 07:43:00,48.0,0.0
70823,2024-09-22 09:23:00,2162,CAIRO,Email,  Low ,Technical,Heba,Resolved,274.0,45.0,1.0,0,2024-09-24 06:23:00,72.0,1.0
71058,2024-10-24 22:16:00,2596,Cairo,portal,Low,Delivery,Farah,Pending,289.0,,5.0,0,,72.0,
70969,2024-10-01 01:12:00,2214,Alexandria,  Email ,Low,  Account ,Ali,Open,229.0,,4.0,0,,72.0,
71163,2024-09-15 11:10:00,2383,Tanta,Portal,High,Account,Sara,Open,259.0,25.0,5.0,0,,24.0,0.0
71573,2025-02-11 04:59:00,2335,Mansoura,Email,Medium,Delivery,Heba,open,37.0,,3.0,0,,48.0,
70336,2025-01-24 17:52:00,2189,MANSOURA,Chat,Low,Technical,  Mina ,Closed,193.0,161.0,5.0,0,2025-01-31 10:52:00,72.0,0.0
71579,2024-10-22 19:28:00,2104,ISMAILIA,PHONE,Low,Refund,Nada,Resolved,174.0,152.0,,0,2024-10-29 03:28:00,72.0,0.0
71067,2024-11-23 13:51:00,2005,  Tanta ,Email,Medium,Delivery,Youssef,Resolved,564.0,30.0,,0,2024-11-24 19:51:00,48.0,1.0
71255,2024-09-13 03:26:00,2476,Cairo,Portal,  medium ,Technical,Nada,Resolved,258.0,114.0,4.0,0,2024-09-17 21:26:00,48.0,0.0
70258,2024-09-13 06:20:00,2121,ISMAILIA,Email,Low,  COMPLAINT ,  nada ,open,100.0,,4.0,0,,72.0,
70763,2024-09-30 15:47:00,2454,Mansoura,Email,  Low ,Technical,FARAH,Resolved,81.0,112.0,,0,2024-10-05 07:47:00,72.0,0.0
70757,2025-02-12 12:30:00,2115,  Suez ,  Phone ,Medium,BILLING,Farah,  Resolved ,513.0,29.0,,0,2025-02-13 17:30:00,48.0,1.0
71317,2024-09-09 02:18:00,2256,suez,Portal,Medium,Account,Mina,RESOLVED,660.0,52.0,4.0,0,2024-09-11 06:18:00,48.0,0.0
70078,2024-10-30 15:36:00,2402,Alexandria,  Email ,Medium,Account,Ali,Resolved,294.0,10.0,,0,2024-10-31 01:36:00,48.0,1.0
70713,2024-10-27 07:23:00,2264,Ismailia,  Chat ,Critical,Delivery,Farah,Resolved,293.0,157.0,5.0,0,2024-11-02 20:23:00,8.0,0.0
70310,2024-12-03 02:09:00,2141,giza,Portal,LOW,refund,Ali,RESOLVED,366.0,35.0,4.0,0,2024-12-04 13:09:00,72.0,1.0
70921,2024-11-16 00:05:00,2405,Cairo,chat,  low ,Complaint,  Mina ,Pending,692.0,8.0,4.0,0,,72.0,0.0
70259,2025-02-18 02:30:00,2322,  SUEZ ,  chat ,High,complaint,Farah,CLOSED,700.0,65.0,4.0,0,2025-02-20 19:30:00,24.0,0.0
70040,2024-10-19 10:48:00,2506,Zagazig,  Chat ,MEDIUM,Account,Ali,RESOLVED,638.0,154.0,5.0,0,2024-10-25 20:48:00,48.0,0.0
70248,2024-10-23 07:19:00,2489,Alexandria,Phone,Low,TECHNICAL,  Mina ,  Closed ,114.0,162.0,4.0,1,2024-10-30 01:19:00,72.0,0.0
71369,2024-09-25 08:34:00,2005,TANTA,Email,CRITICAL,Account,,RESOLVED,713.0,111.0,3.0,0,2024-09-29 23:34:00,8.0,0.0
70861,2025-02-06 22:23:00,2375,  Tanta ,Email,LOW,Complaint,Heba,Closed,174.0,46.0,,0,2025-02-08 20:23:00,72.0,1.0
70668,2024-11-23 18:11:00,2148,Cairo,PORTAL,  Medium ,Delivery,heba,Open,699.0,,5.0,0,,48.0,
70902,2024-10-02 05:15:00,2268,Mansoura,PORTAL,Medium,Delivery,  Nada ,  Resolved ,427.0,8.0,3.0,0,2024-10-02 13:15:00,48.0,1.0
71484,2024-12-16 05:40:00,2556,Alexandria,EMAIL,Critical,Delivery,Farah,Resolved,603.0,8.0,4.0,0,2024-12-16 13:40:00,8.0,1.0
70327,2025-02-16 22:10:00,2501,Suez,Chat,MEDIUM,Billing,ali,Resolved,96.0,1.0,4.0,0,2025-02-16 23:10:00,48.0,1.0
70545,2024-09-09 14:04:00,2454,suez,  Phone ,MEDIUM,delivery,Youssef,  Resolved ,155.0,2.0,5.0,0,2024-09-09 16:04:00,48.0,1.0
70798,2024-12-29 13:16:00,2553,cairo,Portal,  Medium ,  Delivery ,Nada,resolved,138.0,49.0,5.0,0,2024-12-31 14:16:00,48.0,0.0
71103,2024-12-29 17:28:00,2402,Cairo,Phone,High,Complaint,Sara,Resolved,487.0,22.0,4.0,0,2024-12-30 15:28:00,24.0,1.0
70760,2024-09-09 00:00:00,2527,Mansoura,Email,Low,Complaint,ali,PENDING,108.0,64.0,4.0,0,,72.0,0.0
70479,2024-12-26 10:22:00,2058,Alexandria,Chat,Critical,Delivery,Heba,  Pending ,301.0,,5.0,0,,8.0,
71029,2024-10-16 04:45:00,2212,Tanta,Phone,LOW,Refund,  Mina ,Resolved,624.0,32.0,5.0,0,2024-10-17 12:45:00,72.0,1.0
70615,2024-11-02 13:30:00,2081,suez,Phone,High,technical,Heba,RESOLVED,330.0,68.0,4.0,0,2024-11-05 09:30:00,24.0,0.0
71231,2024-12-03 17:30:00,2550,Mansoura,Chat,  Medium ,Delivery,Sara,Resolved,629.0,72.0,3.0,0,2024-12-06 17:30:00,48.0,0.0
70941,2024-11-05 10:36:00,2383,Ismailia,Chat,Low,Billing,  Omar ,Resolved,562.0,140.0,4.0,0,2024-11-11 06:36:00,72.0,0.0
70846,2024-10-28 18:39:00,2223,  Tanta ,Portal,Critical,Refund,omar,closed,275.0,10.0,5.0,0,2024-10-29 04:39:00,8.0,0.0
70481,2024-10-07 13:23:00,2506,Mansoura,chat,  Low ,  BILLING ,Heba,Open,70.0,60.0,,0,,72.0,0.0
71099,2025-01-23 18:15:00,2562,Giza,CHAT,Medium,Technical,Ali,Resolved,570.0,71.0,4.0,1,2025-01-26 17:15:00,48.0,0.0
70590,2025-02-03 20:51:00,2434,Tanta,  Email ,Low,Complaint,Nada,Closed,291.0,160.0,,0,2025-02-10 12:51:00,72.0,0.0
70864,2024-12-07 21:13:00,2088,  Alexandria ,CHAT,Low,  Technical ,  SARA ,PENDING,65.0,,2.0,0,,72.0,
71175,2024-12-13 18:04:00,2155,Alexandria,Phone,Medium,  Complaint ,Youssef,closed,444.0,164.0,,0,2024-12-20 14:04:00,48.0,0.0
71164,2024-09-02 14:17:00,2181,Giza,  Email ,Low,  complaint ,HEBA,Resolved,192.0,109.0,5.0,0,2024-09-07 03:17:00,72.0,0.0
71520,2024-10-11 06:20:00,2538,Ismailia,Phone,HIGH,Account,Nada,Resolved,542.0,101.0,5.0,0,2024-10-15 11:20:00,24.0,0.0
71427,2025-01-12 22:51:00,2149,  Alexandria ,Portal,Medium,Billing,Ali,resolved,359.0,6.0,5.0,0,2025-01-13 04:51:00,48.0,1.0
71240,2025-01-02 21:45:00,2017,Mansoura,  Phone ,Medium,  Refund ,MINA,Closed,577.0,29.0,5.0,0,2025-01-04 02:45:00,48.0,1.0
70108,2024-09-25 18:53:00,2372,Alexandria,Portal,High,Billing,Omar,resolved,284.0,130.0,3.0,0,2024-10-01 04:53:00,24.0,0.0
70434,2024-12-20 15:33:00,2540,Mansoura,Portal,High,  refund ,Ali,Resolved,151.0,75.0,3.0,1,2024-12-23 18:33:00,24.0,0.0
71203,2024-12-22 17:44:00,2039,Mansoura,Phone,Medium,Complaint,Farah,Closed,545.0,157.0,2.0,0,2024-12-29 06:44:00,48.0,0.0
71535,2024-11-22 16:09:00,2554,SUEZ,Chat,  MEDIUM ,delivery,NADA,Resolved,522.0,18.0,4.0,0,2024-11-23 10:09:00,48.0,1.0
71183,2024-09-10 00:27:00,2367,cairo,Email,Low,Account,Omar,Closed,92.0,147.0,5.0,0,2024-09-16 03:27:00,72.0,0.0
71105,2025-01-18 07:06:00,2051,  Cairo ,Email,High,Complaint,  Omar ,Pending,342.0,128.0,,0,,24.0,0.0
70553,2024-11-05 16:56:00,2160,Ismailia,Email,Medium,Refund,  Ali ,Resolved,689.0,167.0,5.0,0,2024-11-12 15:56:00,48.0,0.0
71221,2024-09-24 12:10:00,2525,  Suez ,Chat,low,Complaint,  farah ,Resolved,318.0,90.0,2.0,1,2024-09-28 06:10:00,72.0,0.0
70223,2024-12-18 17:01:00,2303,Alexandria,Chat,Medium,Complaint,MINA,Closed,42.0,80.0,5.0,0,2024-12-22 01:01:00,48.0,0.0
70123,2025-01-03 05:47:00,2161,MANSOURA,Chat,LOW,Billing,Youssef,Resolved,518.0,91.0,,0,2025-01-07 00:47:00,72.0,0.0
70751,2024-11-11 04:19:00,2518,Mansoura,Portal,  low ,Account,Nada,  Open ,10.0,,,0,,72.0,
70305,2024-09-08 14:37:00,2167,Alexandria,Chat,Low,technical,Ali,Resolved,295.0,62.0,3.0,0,2024-09-11 04:37:00,72.0,1.0
70700,2024-12-29 12:51:00,2147,Suez,  Email ,  Medium ,  Billing ,Ali,Resolved,546.0,91.0,,0,2025-01-02 07:51:00,48.0,0.0
71368,2025-01-29 06:19:00,2329,Tanta,phone,  Low ,Billing,  Nada ,Open,323.0,,3.0,0,,72.0,
70514,2024-09-21 19:08:00,2222,Mansoura,Phone,high,REFUND,HEBA,Resolved,257.0,17.0,3.0,0,2024-09-22 12:08:00,24.0,1.0
70448,2024-12-14 08:37:00,2456,SUEZ,Chat,Critical,Account,omar,CLOSED,439.0,22.0,5.0,0,2024-12-15 06:37:00,8.0,0.0
70518,2024-11-04 05:53:00,2057,suez,email,CRITICAL,TECHNICAL,SARA,  resolved ,514.0,113.0,,1,2024-11-08 22:53:00,8.0,0.0
71546,2024-10-14 20:16:00,2085,Mansoura,portal,  Medium ,refund,Omar,Closed,712.0,163.0,3.0,0,2024-10-21 15:16:00,48.0,0.0
71252,2024-11-23 00:27:00,2542,Ismailia,phone,  Medium ,Technical,Nada,Resolved,556.0,87.0,3.0,0,2024-11-26 15:27:00,48.0,0.0
71401,2024-12-08 00:44:00,2196,Ismailia,Email,  MEDIUM ,Refund,Youssef,Resolved,377.0,73.0,3.0,0,2024-12-11 01:44:00,48.0,0.0
71458,2024-12-12 00:01:00,2489,Tanta,  Chat ,Medium,Complaint,sara,Open,67.0,,3.0,0,,48.0,
71477,2024-11-04 15:09:00,2107,Alexandria,PHONE,High,Account,Ali,Resolved,293.0,107.0,3.0,0,2024-11-09 02:09:00,24.0,0.0
70060,2025-02-10 19:20:00,2344,MANSOURA,  Email ,Medium,  Delivery ,SARA,  OPEN ,615.0,,,0,,48.0,
70762,2024-09-21 04:58:00,2104,  Tanta ,Portal,critical,Billing,Nada,Open,600.0,51.0,,0,,8.0,0.0
70119,2025-02-18 18:04:00,2323,Giza,email,High,  Account ,Nada,  Closed ,197.0,143.0,1.0,0,2025-02-24 17:04:00,24.0,0.0
70143,2024-11-20 16:41:00,2066,Cairo,chat,Critical,Billing,Omar,Closed,413.0,128.0,4.0,0,2024-11-26 00:41:00,8.0,0.0
71381,2024-12-27 14:46:00,2279,  Suez ,  phone ,  Low ,Billing,  Omar ,Closed,699.0,103.0,4.0,0,2024-12-31 21:46:00,72.0,0.0
70167,2025-02-27 09:32:00,2511,CAIRO,chat,Low,delivery,Nada,Closed,471.0,133.0,2.0,0,2025-03-04 22:32:00,72.0,0.0
71119,2025-02-28 06:55:00,2288,MANSOURA,chat,Medium,Complaint,  Ali ,Resolved,655.0,74.0,,1,2025-03-03 08:55:00,48.0,0.0
71195,2024-10-31 19:28:00,2541,zagazig,PORTAL,Low,  TECHNICAL ,Nada,Resolved,400.0,165.0,,1,2024-11-07 16:28:00,72.0,0.0
71318,2024-12-04 05:33:00,2370,MANSOURA,chat,High,Technical,Mina,Resolved,504.0,85.0,4.0,1,2024-12-07 18:33:00,24.0,0.0
71217,2025-02-20 12:37:00,2226,cairo,Chat,medium,Billing,Omar,Closed,609.0,95.0,,1,2025-02-24 11:37:00,48.0,0.0
70256,2024-12-22 14:56:00,2360,  Giza ,Chat,critical,  Billing ,  Youssef ,Resolved,576.0,12.0,2.0,0,2024-12-23 02:56:00,8.0,0.0
70776,2024-12-27 02:05:00,2073,Zagazig,Portal,Medium,Refund,Ali,Resolved,593.0,29.0,4.0,0,2024-12-28 07:05:00,48.0,1.0
71074,2024-11-10 04:48:00,2219,Ismailia,Email,Low,Billing,Nada,  Resolved ,583.0,12.0,,1,2024-11-10 16:48:00,72.0,1.0
71344,2024-10-11 06:24:00,2102,MANSOURA,PHONE,Medium,Refund,Youssef,pending,79.0,,4.0,0,,48.0,
70302,2024-09-01 07:11:00,2039,Ismailia,Chat,Medium,Refund,Farah,Resolved,547.0,103.0,2.0,0,2024-09-05 14:11:00,48.0,0.0
71282,2024-12-27 20:58:00,2365,  zagazig ,Chat,Medium,Refund,,RESOLVED,668.0,117.0,5.0,0,2025-01-01 17:58:00,48.0,0.0
71135,2024-12-18 02:42:00,2249,,chat,Low,Delivery,farah,  Resolved ,532.0,55.0,5.0,0,2024-12-20 09:42:00,72.0,1.0
70069,2024-09-05 20:04:00,2484,  cairo ,email,  Low ,Billing,Heba,Resolved,311.0,84.0,5.0,0,2024-09-09 08:04:00,72.0,0.0
70135,2024-11-05 05:04:00,2118,Ismailia,  Chat ,low,Delivery,heba,Closed,158.0,89.0,,0,2024-11-08 22:04:00,72.0,0.0
70006,2024-10-21 18:49:00,2425,Mansoura,chat,High,Technical,Ali,  Open ,362.0,8.0,3.0,0,,24.0,0.0
71052,2025-02-03 13:17:00,2370,Ismailia,Email,  Medium ,Delivery,Omar,OPEN,340.0,45.0,,0,,48.0,0.0
70769,2025-01-09 04:26:00,2573,Tanta,Phone,High,Account,Nada,  Resolved ,37.0,91.0,,0,2025-01-12 23:26:00,24.0,0.0
70237,2024-11-09 00:29:00,2200,Giza,  email ,Medium,Technical,HEBA,Resolved,623.0,32.0,5.0,0,2024-11-10 08:29:00,48.0,1.0
70543,2024-12-09 11:41:00,2479,ZAGAZIG,Email,high,Delivery,YOUSSEF,Closed,644.0,55.0,4.0,0,2024-12-11 18:41:00,24.0,0.0
71591,2025-01-07 09:33:00,2274,ismailia,EMAIL,MEDIUM,Account,Farah,Open,606.0,,4.0,0,,48.0,
71367,2024-12-25 05:04:00,2295,Ismailia,chat,Low,REFUND,  Farah ,Pending,532.0,,3.0,0,,72.0,
70099,2024-12-23 11:29:00,2394,mansoura,Chat,low,Technical,Ali,  Open ,9.0,,2.0,0,,72.0,
70688,2024-10-08 08:56:00,2031,TANTA,Portal,Medium,Billing,Sara,  Resolved ,516.0,108.0,3.0,0,2024-10-12 20:56:00,48.0,0.0
70230,2024-09-19 16:05:00,2283,Mansoura,Chat,Low,Account,Omar,Resolved,338.0,8.0,4.0,0,2024-09-20 00:05:00,72.0,1.0
70872,2024-09-22 21:26:00,2002,Tanta,Email,Medium,Technical,Sara,  RESOLVED ,540.0,61.0,1.0,1,2024-09-25 10:26:00,48.0,0.0
71190,2024-11-22 02:40:00,2014,Cairo,Email,Low,  Account ,,resolved,611.0,37.0,5.0,0,2024-11-23 15:40:00,72.0,1.0
70132,2024-09-12 16:04:00,2178,  zagazig ,CHAT,Low,Account,Sara,Resolved,343.0,19.0,4.0,0,2024-09-13 11:04:00,72.0,1.0
70764,2024-11-29 19:26:00,2168,Tanta,  Chat ,HIGH,Account,  Sara ,Open,544.0,,4.0,0,,24.0,
71061,2025-01-27 06:15:00,2229,Mansoura,email,medium,  Delivery ,Omar,Open,350.0,,4.0,0,,48.0,
70924,2024-09-20 07:41:00,2325,Suez,Chat,Medium,Account,Nada,Resolved,696.0,59.0,2.0,0,2024-09-22 18:41:00,48.0,0.0
70290,2024-11-16 00:31:00,2270,Tanta,Portal,High,Delivery,Farah,Closed,316.0,64.0,,0,2024-11-18 16:31:00,24.0,0.0
70054,2024-10-25 11:00:00,2437,Tanta,portal,Low,  Refund ,  Farah ,CLOSED,246.0,3.0,2.0,0,2024-10-25 14:00:00,72.0,1.0
71157,2025-02-15 04:35:00,2516,Mansoura,Email,critical,DELIVERY,farah,Closed,263.0,23.0,5.0,0,2025-02-16 03:35:00,8.0,0.0
70923,2025-02-20 06:28:00,2367,Ismailia,Chat,Medium,Account,Farah,Open,180.0,135.0,4.0,0,,48.0,0.0
70873,2025-01-14 10:40:00,2501,Mansoura,PORTAL,Critical,Billing,Ali,  pending ,180.0,13.0,5.0,0,,8.0,0.0
70590,2025-02-03 20:51:00,2434,Tanta,  Email ,Low,Complaint,Nada,Closed,291.0,160.0,,0,2025-02-10 12:51:00,72.0,0.0
70871,2024-12-05 14:43:00,2508,  Alexandria ,Phone,Medium,ACCOUNT,ALI,OPEN,387.0,,4.0,1,,48.0,
70515,2024-11-25 15:01:00,2164,Cairo,Email,low,Technical,Youssef,RESOLVED,-5.0,153.0,5.0,0,2024-12-02 00:01:00,72.0,0.0
70758,2025-02-05 03:15:00,2559,Mansoura,Chat,Medium,DELIVERY,Mina,RESOLVED,556.0,98.0,4.0,0,2025-02-09 05:15:00,48.0,0.0
70472,2025-02-27 15:11:00,2062,Giza,Chat,Low,Complaint,Nada,Open,430.0,133.0,,0,,72.0,0.0
70749,2024-10-16 13:41:00,2106,  ISMAILIA ,Phone,Low,Refund,Farah,Resolved,178.0,80.0,1.0,0,2024-10-19 21:41:00,72.0,0.0
70972,2024-10-01 00:34:00,2237,  zagazig ,Phone,Medium,  Delivery ,  FARAH ,Resolved,47.0,73.0,4.0,0,2024-10-04 01:34:00,48.0,0.0
70880,2024-12-16 22:39:00,2280,  Zagazig ,  Chat ,  High ,Delivery,ALI,Resolved,677.0,43.0,3.0,0,2024-12-18 17:39:00,24.0,0.0
71205,2024-12-05 06:57:00,2457,Mansoura,Chat,low,Refund,Nada,Pending,50.0,,4.0,0,,72.0,
71128,2024-11-13 04:53:00,2305,Cairo,Email,Medium,billing,  Nada ,Pending,636.0,,,1,,48.0,
70296,2025-02-25 10:51:00,2155,tanta,Email,critical,refund,Farah,RESOLVED,285.0,35.0,5.0,0,2025-02-26 21:51:00,8.0,0.0
70227,2024-12-22 21:14:00,2211,Ismailia,Phone,HIGH,  Delivery ,ali,Resolved,636.0,147.0,,0,2024-12-29 00:14:00,24.0,0.0
